question,group,item,agreement_percent
Reasons for buying organic foods,Age 14-29,Avoidance of pesticide residues,71
Reasons for buying organic foods,Age 14-29,Contribution to biodiversity,64
Reasons for buying organic foods,Age 14-29,Fewer additive substances,77
Reasons for buying organic foods,Age 14-29,Healthy diet,79
Reasons for buying organic foods,Age 14-29,No use of genetically changed organisms,68
Reasons for buying organic foods,Age 14-29,Products as natural as possible,87
Reasons for buying organic foods,Age 14-29,Regional origin and support for regional firms,83
Reasons for buying organic foods,Age 14-29,Social standards and fair income for producers,76
Reasons for buying organic foods,Age 14-29,Taste,62
Reasons for buying organic foods,Age 30-49,Animal welfare,90
Reasons for buying organic foods,Age 30-49,Avoidance of pesticide residues,83
Reasons for buying organic foods,Age 30-49,Contribution to biodiversity,80
Reasons for buying organic foods,Age 30-49,Fewer additive substances,88
Reasons for buying organic foods,Age 30-49,Healthy diet,87
Reasons for buying organic foods,Age 30-49,No use of genetically changed organisms,69
Reasons for buying organic foods,Age 30-49,Products as natural as possible,88
Reasons for buying organic foods,Age 30-49,Regional origin and support for regional firms,86
Reasons for buying organic foods,Age 30-49,Social standards and fair income for producers,76
Reasons for buying organic foods,Age 30-49,Taste,65
Reasons for buying organic foods,Age 50+,Animal welfare,91
Reasons for buying organic foods,Age 50+,Avoidance of pesticide residues,90
Reasons for buying organic foods,Age 50+,Contribution to biodiversity,74
Reasons for buying organic foods,Age 50+,Fewer additive substances,86
Reasons for buying organic foods,Age 50+,Healthy diet,89
Reasons for buying organic foods,Age 50+,No use of genetically changed organisms,78
Reasons for buying organic foods,Age 50+,Products as natural as possible,92
Reasons for buying organic foods,Age 50+,Regional origin and support for regional firms,91
Reasons for buying organic foods,Age 50+,Social standards and fair income for producers,82
Reasons for buying organic foods,Age 50+,Taste,69
Reasons for buying organic foods,Female,Animal welfare,92
Reasons for buying organic foods,Female,Avoidance of pesticide residues,87
Reasons for buying organic foods,Female,Contribution to biodiversity,75
Reasons for buying organic foods,Female,Fewer additive substances,89
Reasons for buying organic foods,Female,Healthy diet,90
Reasons for buying organic foods,Female,No use of genetically changed organisms,80
Reasons for buying organic foods,Female,Products as natural as possible,90
Reasons for buying organic foods,Female,Regional origin and support for regional firms,91
Reasons for buying organic foods,Female,Social standards and fair income for producers,83
Reasons for buying organic foods,Female,Taste,70
Reasons for buying organic foods,Male,Animal welfare,87
Reasons for buying organic foods,Male,Avoidance of pesticide residues,82
Reasons for buying organic foods,Male,Contribution to biodiversity,72
Reasons for buying organic foods,Male,Fewer additive substances,81
Reasons for buying organic foods,Male,Healthy diet,83
Reasons for buying organic foods,Male,No use of genetically changed organisms,67
Reasons for buying organic foods,Male,Products as natural as possible,89
Reasons for buying organic foods,Male,Regional origin and support for regional firms,85
Reasons for buying organic foods,Male,Social standards and fair income for producers,75
Reasons for buying organic foods,Male,Taste,63
Reasons for buying organic foods,Total,Animal welfare,90
Reasons for buying organic foods,Total,Avoidance of pesticide residues,84
Reasons for buying organic foods,Total,Contribution to biodiversity,74
Reasons for buying organic foods,Total,Fewer additive substances,85
Reasons for buying organic foods,Total,Healthy diet,87
Reasons for buying organic foods,Total,No use of genetically changed organisms,74
Reasons for buying organic foods,Total,Products as natural as possible,90
Reasons for buying organic foods,Total,Regional origin and support for regional firms,88
Reasons for buying organic foods,Total,Social standards and fair income for producers,79
Reasons for buying organic foods,Total,Taste,67
